, 구 분 , 세  대 ,총     인     구,,,내     국      인,,,외     국     인,,,세대당 주),,65세 이상 총인구,,,65세 이상 한국인,,,65세 이상 외국인,,,,,,,,,,,,,,,
그룹,,,계,남,여,계,남,여,계,남,여,인구수,,계,남,여,계,남,여,계,남,여,,,,,,,,,,,,,
, 서울특별시 ," 4,220,082 "," 10,124,579 "," 4,957,857 "," 5,166,722 "," 9,857,426 "," 4,830,206 "," 5,027,220 "," 267,153 "," 127,651 "," 139,502 ", 2.34 ,," 1,365,126 "," 602,107 "," 763,019 "," 1,359,901 "," 599,378 "," 760,523 "," 5,225 "," 2,729 "," 2,496 ",,,,,,,,,,,,,
, 종로구  ," 73,594 "," 164,257 "," 80,094 "," 84,163 "," 154,770 ","75,967 ","78,803 "," 9,487 "," 4,127 "," 5,360 ", 2.10 ,," 26,182 "," 11,441 "," 14,741 "," 26,030 "," 11,356 "," 14,674 ", 152 , 85 , 67 ,,,,,,,,,,,,,
, 중구 ," 60,412 "," 134,593 "," 66,337 "," 68,256 "," 125,709 ","62,253 ","63,456 "," 8,884 "," 4,084 "," 4,800 ", 2.08 ,," 21,384 "," 9,332 "," 12,052 "," 21,148 "," 9,206 "," 11,942 ", 236 , 126 , 110 ,,,,,,,,,,,,,
, 용산구 ," 107,666 "," 244,444 "," 119,423 "," 125,021 "," 229,161 ","110,878 ","118,283 "," 15,283 "," 8,545 "," 6,738 ", 2.13 ,," 36,882 "," 15,489 "," 21,393 "," 36,488 "," 15,245 "," 21,243 ", 394 , 244 , 150 ,,,,,,,,,,,,,
, 성동구 ," 132,902 "," 312,711 "," 154,077 "," 158,634 "," 304,808 ","150,368 ","154,440 "," 7,903 "," 3,709 "," 4,194 ", 2.29 ,," 41,273 "," 17,972 "," 23,301 "," 41,152 "," 17,900 "," 23,252 ", 121 , 72 , 49 ,,,,,,,,,,,,,
, 광진구 ," 160,798 "," 372,298 "," 180,645 "," 191,653 "," 357,703 ","174,414 ","183,289 "," 14,595 "," 6,231 "," 8,364 ", 2.22 ,," 43,953 "," 19,565 "," 24,388 "," 43,790 "," 19,479 "," 24,311 ", 163 , 86 , 77 ,,,,,,,,,,,,,
, 동대문구 ," 159,938 "," 366,011 "," 181,185 "," 184,826 "," 350,647 ","175,324 ","175,323 "," 15,364 "," 5,861 "," 9,503 ", 2.19 ,," 55,718 "," 24,655 "," 31,063 "," 55,547 "," 24,574 "," 30,973 ", 171 , 81 , 90 ,,,,,,,,,,,,,
, 중랑구 ," 179,132 "," 412,780 "," 205,125 "," 207,655 "," 408,226 ","203,325 ","204,901 "," 4,554 "," 1,800 "," 2,754 ", 2.28 ,," 59,262 "," 26,316 "," 32,946 "," 59,189 "," 26,280 "," 32,909 ", 73 , 36 , 37 ,,,,,,,,,,,,,
, 성북구 ," 187,112 "," 455,407 "," 221,103 "," 234,304 "," 444,055 ","216,556 ","227,499 "," 11,352 "," 4,547 "," 6,805 ", 2.37 ,," 66,251 "," 28,574 "," 37,677 "," 66,121 "," 28,511 "," 37,610 ", 130 , 63 , 67 ,,,,,,,,,,,,,
, 강북구 ," 142,533 "," 328,002 "," 160,252 "," 167,750 "," 324,479 ","158,918 ","165,561 "," 3,523 "," 1,334 "," 2,189 ", 2.28 ,," 56,530 "," 24,311 "," 32,219 "," 56,437 "," 24,268 "," 32,169 ", 93 , 43 , 50 ,,,,,,,,,,,,,
, 도봉구 ," 137,378 "," 346,234 "," 169,553 "," 176,681 "," 344,166 ","168,759 ","175,407 "," 2,068 ", 794 ," 1,274 ", 2.51 ,," 53,488 "," 23,688 "," 29,800 "," 53,445 "," 23,666 "," 29,779 ", 43 , 22 , 21 ,,,,,,,,,,,,,
, 노원구 ," 217,619 "," 558,075 "," 271,025 "," 287,050 "," 554,403 ","269,508 ","284,895 "," 3,672 "," 1,517 "," 2,155 ", 2.55 ,," 74,243 "," 30,827 "," 43,416 "," 74,178 "," 30,799 "," 43,379 ", 65 , 28 , 37 ,,,,,,,,,,,,,
, 은평구 ," 202,839 "," 491,202 "," 238,223 "," 252,979 "," 486,794 ","236,353 ","250,441 "," 4,408 "," 1,870 "," 2,538 ", 2.40 ,," 74,559 "," 32,323 "," 42,236 "," 74,400 "," 32,245 "," 42,155 ", 159 , 78 , 81 ,,,,,,,,,,,,,
, 서대문구 ," 137,266 "," 325,028 "," 155,250 "," 169,778 "," 312,800 ","151,144 ","161,656 "," 12,228 "," 4,106 "," 8,122 ", 2.28 ,," 49,266 "," 20,776 "," 28,490 "," 48,898 "," 20,600 "," 28,298 ", 368 , 176 , 192 ,,,,,,,,,,,,,
, 마포구 ," 169,408 "," 385,783 "," 183,248 "," 202,535 "," 374,915 ","178,939 ","195,976 "," 10,868 "," 4,309 "," 6,559 ", 2.21 ,," 49,615 "," 20,806 "," 28,809 "," 49,356 "," 20,677 "," 28,679 ", 259 , 129 , 130 ,,,,,,,,,,,,,
, 양천구 ," 176,649 "," 475,018 "," 234,279 "," 240,739 "," 471,154 ","232,518 ","238,636 "," 3,864 "," 1,761 "," 2,103 ", 2.67 ,," 55,234 "," 24,641 "," 30,593 "," 55,136 "," 24,585 "," 30,551 ", 98 , 56 , 42 ,,,,,,,,,,,,,
, 강서구 ," 254,257 "," 608,255 "," 296,175 "," 312,080 "," 601,691 ","292,989 ","308,702 "," 6,564 "," 3,186 "," 3,378 ", 2.37 ,," 76,032 "," 33,539 "," 42,493 "," 75,845 "," 33,427 "," 42,418 ", 187 , 112 , 75 ,,,,,,,,,,,,,
, 구로구 ," 171,570 "," 441,559 "," 221,386 "," 220,173 "," 410,742 ","204,003 ","206,739 "," 30,817 "," 17,383 "," 13,434 ", 2.39 ,," 58,794 "," 27,117 "," 31,677 "," 58,213 "," 26,798 "," 31,415 ", 581 , 319 , 262 ,,,,,,,,,,,,,
, 금천구 ," 106,066 "," 253,491 "," 129,775 "," 123,716 "," 235,154 ","119,497 ","115,657 "," 18,337 "," 10,278 "," 8,059 ", 2.22 ,," 34,170 "," 15,556 "," 18,614 "," 33,842 "," 15,388 "," 18,454 ", 328 , 168 , 160 ,,,,,,,,,,,,,
, 영등포구 ," 167,355 "," 402,024 "," 202,400 "," 199,624 "," 368,550 ","183,975 ","184,575 "," 33,474 "," 18,425 "," 15,049 ", 2.20 ,," 53,981 "," 24,376 "," 29,605 "," 53,299 "," 24,020 "," 29,279 ", 682 , 356 , 326 ,,,,,,,,,,,,,
, 동작구 ," 172,995 "," 408,493 "," 198,827 "," 209,666 "," 396,217 ","193,255 ","202,962 "," 12,276 "," 5,572 "," 6,704 ", 2.29 ,," 57,255 "," 24,994 "," 32,261 "," 57,071 "," 24,902 "," 32,169 ", 184 , 92 , 92 ,,,,,,,,,,,,,
, 관악구 ," 255,352 "," 520,929 "," 262,006 "," 258,923 "," 503,297 ","253,661 ","249,636 "," 17,632 "," 8,345 "," 9,287 ", 1.97 ,," 70,046 "," 31,523 "," 38,523 "," 69,729 "," 31,374 "," 38,355 ", 317 , 149 , 168 ,,,,,,,,,,,,,
, 서초구 ," 173,594 "," 445,401 "," 213,422 "," 231,979 "," 441,102 ","211,236 ","229,866 "," 4,299 "," 2,186 "," 2,113 ", 2.54 ,," 53,205 "," 24,135 "," 29,070 "," 53,119 "," 24,090 "," 29,029 ", 86 , 45 , 41 ,,,,,,,,,,,,,
, 강남구 ," 231,612 "," 561,052 "," 268,941 "," 292,111 "," 556,164 ","266,442 ","289,722 "," 4,888 "," 2,499 "," 2,389 ", 2.40 ,," 65,060 "," 29,337 "," 35,723 "," 64,946 "," 29,282 "," 35,664 ", 114 , 55 , 59 ,,,,,,,,,,,,,
